CATEGORY,HEBREW,STRONGS
Abomination (abominable),פִגּוּל,H6292
Abomination (abominable),שִׁקּוּץ,H8251
Abomination (abominable),שָׁקַץ,H8262
Abomination (abominable),שֶׁקֶץ,H8263
Abomination (abominable),תּוֹעֵבַה,H8441
Abomination (abominable),תַּעָב  ,H8581
"Detestable  (detest, abhorrent, abhor, abhorrence) ",גָּעַל,H1602
"Detestable  (detest, abhorrent, abhor, abhorrence) ",דְּרָאוֹן,H1860
"Detestable  (detest, abhorrent, abhor, abhorrence) ",מָאַס,H3988
"Detestable  (detest, abhorrent, abhor, abhorrence) ",צוֹאָה,H6675
"Detestable  (detest, abhorrent, abhor, abhorrence) ",קוּץ,H6973
"Detestable  (detest, abhorrent, abhor, abhorrence) ",שָׂנֵא,H8130
"Detestable  (detest, abhorrent, abhor, abhorrence) ",שִׁקּוּץ,H8251
"Detestable  (detest, abhorrent, abhor, abhorrence) ",שָׁקַץ,H8262
"Detestable  (detest, abhorrent, abhor, abhorrence) ",שֶׁקֶץ,H8263
"Detestable  (detest, abhorrent, abhor, abhorrence) ",תּוֹעֵבַה,H8441
"Detestable  (detest, abhorrent, abhor, abhorrence) ",תַּעָב,H8581
Almighty,שַׁדַּי,H7706
Angel / Angel of Yahweh /A of God,אַבִּיר,H47
Angel / Angel of Yahweh /A of God,מֲלְאָךְ,H4397
Anoint/Anointing,יִצְהָר,H3323
Anoint/Anointing,מִמְשַׁח,H4473
Anoint/Anointing,מָשַׁח,H4886
Anoint/Anointing,מִשְׁחָה,H4888
Anoint/Anointing,מָשִׁיחַ,H4899
Anoint/Anointing,סוּךְ,H5480
"Ark (of the covenant)
(not the ark in Gen 6-10)",אָרוֹן,H727
"Ark (of the covenant)
(not the ark in Gen 6-10)",עֵדוּת,H5715
Atonement,כָּפַר,H3722
Day of Atonement,כִּפֻּר,H3725
Authority (Dominion),טַעַם,H2940
Authority (Dominion),מֶמְשָׁלָה,H4475
Authority (Dominion),מָשַׁל,H4910
Authority (Dominion),מֹשֶׁל,H4915
Authority (Dominion),פְּקֻדָּה,H6486
Authority (Dominion),צְדָקָה,H6666
Authority (Dominion),צָוָה,H6680
Authority (Dominion),שָׁלַט,H7980
Authority (Dominion),תֹּקֶף,H8633
Authority (Dominion),יָד,H3027
Authority (Dominion),כִּסֵּא,H3678
Believe,אָמַן,H539
Trust,אֱמוּנָה,H530
Trust,אָמַן,H539
Trust,אֲמַן,H540
Trust,אֱמֶת,H571
Trust,בָּטַח,H982
Trust,גָּלַל,H1556
Trust,חָסָה,H2620
Trust,יָחַל,H3176
Trust,מִבְטָח,H4009
Trust,מַחֲסֶה,H4268
Trust,רְחַץ,H7365
Blameless,זָכָה,H2135
Blameless,זָכוּ,H2136
Blameless,תָּם,H8535
Blameless,תָּמִים,H8549
Innocent,חִנָּם,H2600
Innocent,חַף,H2643
Innocent,נָקָה,H5352
Innocent,נָקִי,H5355
Innocent,נִקָּיוֹן,H5356
Innocent,צַדִּיק,H6662
Innocent,צָדַק,H6663
Innocent,תָּם,H8549
Blasphemy,גִּדּוּף,H1421
Blasphemy,גָּדַף,H1442
Blasphemy,חָרַף,H2778
Blasphemy,כְּלִמָּה,H3639
Blasphemy,נָאַץ,H5006
Blasphemy,נֶאָצָה,H5007
Blasphemy,נָקַט,H5354
Bless/Blessing/Blessed,אָשַׁר,H833
Bless/Blessing/Blessed,אֶשֶׁר,H835
Bless/Blessing/Blessed,שָׂמַח,H8055
Bless/Blessing/Blessed,בָּרַךְ,H1288
Bless/Blessing/Blessed,בְּרָכָה,H1293
Bless/Blessing/Blessed,בְּרַךְ,H1289
Blood,דָּם,H1818
Blood,נֵצַח,H5332
Call/Calling,זָעַק,H2199
Call/Calling, מִקְרָא,H4744
Call/Calling,קָרָא,H7121
Call/Calling,קְרָא,H7123
Circumcise / Circumcision / uncircumcised,מוּל,H4135
Circumcise / Circumcision / uncircumcised,מוּלָה,H4139
Circumcise / Circumcision / uncircumcised,נָמַל,H5243
Circumcise / Circumcision / uncircumcised,עָרֵל,H6188
Circumcise / Circumcision / uncircumcised,עָרֵל,H6189
Clean / Cleanse ,בַּר,H1249
Clean / Cleanse ,בֹּר,H1252
Clean / Cleanse ,בָּרַר,H1305
Clean / Cleanse ,זָךְ,H2134
Clean / Cleanse ,זָכָה,H2135
Clean / Cleanse ,זָכַךְ,H2141
Clean / Cleanse ,טָהוֹר,H2889
Clean / Cleanse ,טְהוֹר,H2890
Clean / Cleanse ,טָהֵר,H2891
Clean / Cleanse ,טָהֳרָה,H2893
Clean / Cleanse ,נָקָה,H5352
Clean / Cleanse ,נָקִי,H5355
Clean / Cleanse ,נִקָּיוֹן,H5356
Clean / Cleanse ,צָדַק,H6663
Clean / Cleanse ,תַּמְרוּק,H8562
Pure/ Purity / Purify,בַּר,H1249
Pure/ Purity / Purify,בָּרַר,H1305
Pure/ Purity / Purify,זָךְ,H2134
Pure/ Purity / Purify,זָכָה,H2135
Pure/ Purity / Purify,זָכַךְ,H2141
Pure/ Purity / Purify,זָקַק,H2212
Pure/ Purity / Purify,טָהוֹר,H2889
Pure/ Purity / Purify,טְהוֹר,H2890
Pure/ Purity / Purify,טָהֵר,H2891
Pure/ Purity / Purify,טֹהַר,H2892
Pure/ Purity / Purify,טָהֳרָה,H2893
Pure/ Purity / Purify,כָּתִית,H3795
Pure/ Purity / Purify,נְקֵא,H5343
Pure/ Purity / Purify,קָדַשׁ,H6942
Command / Commandment ,אָמַר,H559
Command / Commandment ,אֲמַר,H560
Command / Commandment ,אִמְרָה,H565
Command / Commandment ,דָּבַר,H1696
Command / Commandment ,דָּבָר,H1697
Command / Commandment ,דָּת,H1881
Command / Commandment ,חֹק,H2706
Command / Commandment ,חֻקָּה,H2708
Command / Commandment ,חָקַק,H2710
Command / Commandment ,טְעֵם,H2942
Command / Commandment ,מַאֲמָר,H3982
Command / Commandment ,מֵאמַר,H3983
Command / Commandment ,מִלָּה,H4406
Command / Commandment ,מִצְוָה,H4687
Command / Commandment ,עֵדָה,H5713
Command / Commandment ,פִּקּוּדִים,H6490
Command / Commandment ,צַו,H6673
Command / Commandment ,צָוָה,H6680
Statutes,חֹק,H2706
Statutes,חֻקָּה,H2708
Statutes,חָקַק,H2710
Ordinance,דָּת,H1881
Ordinance,חֹק,H2706
Ordinance,חֻקָּה,H2708
Ordinance,מִצְוָה,H4687
Ordinance,מִשְׁמֶרֶת,H4931
Ordinance,מִשְׁפָּט,H4941
Compassion,חָמַל,H2550
Compassion,חָנַן,H2603
Compassion,נִחֻם,H5150
Compassion,c,H5162
Compassion,רַחוּם,H7349
Compassion,רָחַם,H7355
Compassion,רַחַם,H7356
Confess,יָדָה,H3034
Confess,תּוֹדָה,H8426
Covenant / Book of the Covenant,בְּרִית,H1285
Curse,אָלָה,H422
Curse,אָלָה,H423
Curse,אָרַר,H779
Curse,חָרַף,H2778
Curse,נָקַב,H5344
Curse,קָבַב,H6895
Curse,קָלַל,H7043
Curse,קְלָלָה,H7045
Curse,שְׁבוּעָה,H7621
day of the Lord,יְהֹוָה,H3068
day of the Lord, יוֹם,H3117
Deliverance / Deliverer,גָּאַל,H1350
Deliverance / Deliverer,הַצָּלָה,H2020
Deliverance / Deliverer,חָלַץ,H2502
Deliverance / Deliverer,יְשׁוּעָה,H3444
Deliverance / Deliverer,יָשַׁע,H3467
Deliverance / Deliverer,מָגַן,H4042
Deliverance / Deliverer,מָנוֹס,H4498
Deliverance / Deliverer,נָצַל,H5337
Deliverance / Deliverer,פָּדָה,H6299
Deliverance / Deliverer,פָּלַט,H6403
Deliverance / Deliverer,פַּלֵּט,H6405
Deliverance / Deliverer,פְּלֵיטָה,H6413
Deliverance / Deliverer,פָּצָה,H6475
Deliverance / Deliverer,שֵׁיזִב,H7804
Deliverance / Deliverer,תְּשׁוּעָה,H8668
Devoted,חֵרֶם,H2764
Devoted,חָרַם,H2763
Devoted,יִרְאָה,H3374
Discipline/            Correction,יָכַח,H3198
Discipline/            Correction,יָסַר,H3256
Discipline/            Correction,לָמַד,H3925
Discipline/            Correction,מוּסָר,H4148
Discipline/            Correction,תּוֹכֵחָה,H8433
Elect / Election/ Chosen,בָּחִיר,H972
Elect / Election/ Chosen,בָּחַר,H977
Elect / Election/ Chosen,בָּרָה,H1262
Elect / Election/ Chosen,בָּרַר,H1305
Elect / Election/ Chosen,יָדַע,H3045
Elect / Election/ Chosen,מִבְחָר,H4005
Elect / Election/ Chosen,קָבַל,H6901
Evil,אָוֶן,H205
Evil,בְּלִיַּעַל,H1100
Evil,דִּבָּה,H1681
Evil,הַוָּה,H1942
Evil,זִמָּה,H2154
Evil,חָמַס,H2554
Evil,חָמָס,H2555
Evil,עָוַל,H5765
Evil,עָוַל,H2162
Evil,חֲבוּלָה,H2248
Evil,יָנָה,H3238
Evil,יָרַט,H3399
Evil,יָרַע,H3415
Evil,עָוָה,H5753
Evil,עֶוֶל,H5766
Evil,עָוֹן,H5771
Evil,עָמָל,H5999
Evil,עָרִיץ,H6184
Evil,רַע,H7451
Evil,רָעַע,H7489
Evil,רָשַׁע,H7561
Evil,רָשָׁע,H7563
Evil,רִשְׁעָה,H7564
Exile / Captive,גּוֹלָה,H1473
Exile / Captive,גָּלָה,H1540
Exile / Captive,גְּלָה,H1541
Exile / Captive,גָּלוּת,H1546
Exile / Captive,נָדַח,H5080
Exile / Captive,צָעָה,H6808
Exile / Captive,שָׁבָה,H7617
Exile / Captive,שְׁבוּת,H7622
Exile / Captive,שְׁבִי,H7628
"Faith
",אֵמוּן,H529
"Faith
",אֱמוּנָה,H530
Faithful,אֵמוּן,H529
Faithful,אֱמוּנָה,H530
Faithful,אָמַן,H539
Faithful,אֲמַן,H540
Faithful,אֱמֶת,H571
Faithful,חָסִיד,H2623
Fear / Fear of the Lord,אֵימָה,H367
Fear / Fear of the Lord,בָּהַל,H926
Fear / Fear of the Lord,בֶּהָלָה,H928
Fear / Fear of the Lord,בָּעַת,H1204
Fear / Fear of the Lord,גּוּר,H1481
Fear / Fear of the Lord,דָּאַג,H1672
Fear / Fear of the Lord,דְּאָגָה,H1674
Fear / Fear of the Lord,דְּחַל,H1763
Fear / Fear of the Lord,חָרֵד,H2729
Fear / Fear of the Lord,חָרֵד,H2730
Fear / Fear of the Lord,חֲרָדָה,H2731
Fear / Fear of the Lord,חַת,H2844
Fear / Fear of the Lord,חָתַת,H2865
Fear / Fear of the Lord,יָגֹר,H3025
Fear / Fear of the Lord,יָרֵא,H3372
Fear / Fear of the Lord,יָרֵא,H3373
Fear / Fear of the Lord,יִרְאָה,H3374
Fear / Fear of the Lord,מָגוֹר,H4032
Fear / Fear of the Lord,מוֹרָא,H4172
Fear / Fear of the Lord,עָרַץ,H6206
Fear / Fear of the Lord,פָּחַד,H6342
Fear / Fear of the Lord,פַּחַד,H6343
Fear / Fear of the Lord,פַּלָּצוּת,H6427
